#datumDate,datumId,datumValue
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/10Y,-0.0012390000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/12Y,-0.0012560000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/15Y,-0.0011990000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/20Y,-0.0012450000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/25Y,-0.0012190000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/2Y,-0.0015190000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/30Y,-0.0011930000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/3Y,-0.0013520000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/4Y,-0.0012940000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/5Y,-0.0012250000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/6Y,-0.0012390000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/7Y,-0.0010970000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/8Y,-0.0011200000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/9Y,-0.0012410000
2016-02-05,CAPFLOOR/RATE_LNVOL/CNY/10Y/3M/0/0/0.01,0.5000000000
2016-02-05,CAPFLOOR/RATE_LNVOL/CNY/10Y/3M/0/0/0.02,0.5000000000
2016-02-05,CAPFLOOR/RATE_LNVOL/CNY/10Y/3M/0/0/0.03,0.5000000000
2016-02-05,CAPFLOOR/RATE_LNVOL/CNY/10Y/3M/0/0/0.04,0.5000000000
2016-02-05,CAPFLOOR/RATE_LNVOL/CNY/10Y/3M/0/0/0.05,0.5000000000
2016-02-05,CAPFLOOR/RATE_LNVOL/CNY/10Y/3M/0/0/0.06,0.5000000000
2016-02-05,CAPFLOOR/RATE_LNVOL/CNY/10Y/3M/0/0/0.07,0.5000000000
2016-02-05,CAPFLOOR/RATE_LNVOL/CNY/10Y/3M/0/0/0.08,0.5000000000
2016-02-05,CAPFLOOR/RATE_LNVOL/CNY/10Y/3M/0/0/0.09,0.5000000000
2016-02-05,CAPFLOOR/RATE_LNVOL/CNY/10Y/3M/0/0/0.10,0.5000000000
2016-02-05,CAPFLOOR/RATE_LNVOL/CNY/10Y/3M/1/1/0,0.5000000000
2016-02-05,CAPFLOOR/RATE_LNVOL/CNY/1Y/3M/0/0/0.01,0.5000000000
2016-02-05,CAPFLOOR/RATE_LNVOL/CNY/1Y/3M/0/0/0.02,0.5000000000
2016-02-05,CAPFLOOR/RATE_LNVOL/CNY/1Y/3M/0/0/0.03,0.5000000000
2016-02-05,CAPFLOOR/RATE_LNVOL/CNY/1Y/3M/0/0/0.04,0.5000000000
2016-02-05,CAPFLOOR/RATE_LNVOL/CNY/1Y/3M/0/0/0.05,0.5000000000
2016-02-05,CAPFLOOR/RATE_LNVOL/CNY/1Y/3M/0/0/0.06,0.5000000000
2016-02-05,CAPFLOOR/RATE_LNVOL/CNY/1Y/3M/0/0/0.07,0.5000000000
2016-02-05,CAPFLOOR/RATE_LNVOL/CNY/1Y/3M/0/0/0.08,0.5000000000
2016-02-05,CAPFLOOR/RATE_LNVOL/CNY/1Y/3M/0/0/0.09,0.5000000000
2016-02-05,CAPFLOOR/RATE_LNVOL/CNY/1Y/3M/0/0/0.10,0.5000000000
